,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
270,Robert Whaley\whalero01,2006,2006,1,23,212,23,57,0,0,3,6,16,43,17,7,8,14,41,49,.404,,.500,9.2,2.1,1.9,0.7
271,Eric White\whiteer01,1989,1989,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,.000,,,2.0,0.0,0.0,0.0
272,Jerome Whitehead\whiteje01,1980,1980,1,32,328,31,69,0,0,5,17,27,97,18,7,11,28,65,67,.449,,.294,10.3,2.1,3.0,0.6
273,Jeff Wilkins\wilkije01,1981,1986,6,427,9482,1450,3136,0,10,545,725,563,2447,444,170,236,611,1132,3445,.462,.000,.752,22.2,8.1,5.7,1.0
274,Aaron Williams\williaa01,1994,1994,1,6,12,2,8,0,0,0,1,1,3,1,0,0,1,4,4,.250,,.000,2.0,0.7,0.5,0.2
275,Deron Williams\willide01,2006,2011,6,439,15632,2725,5848,511,1427,1615,1998,216,1407,4003,461,101,1337,1181,7576,.466,.358,.808,35.6,17.3,3.2,9.1
276,Duck Williams\willidu01,1980,1980,1,77,1794,232,519,0,12,42,60,21,106,183,100,11,107,166,506,.447,.000,.700,23.3,6.6,1.4,2.4
277,Elliot Williams\williel01,2015,2015,1,5,42,6,13,5,7,1,2,0,3,4,2,0,4,1,18,.462,.714,.500,8.4,3.6,0.6,0.8
278,Freeman Williams\willifr01,1983,1983,1,18,210,36,101,2,7,18,25,3,17,10,6,1,12,30,92,.356,.286,.720,11.7,5.1,0.9,0.6
279,Marvin Williams\willima02,2013,2014,2,139,3401,430,996,138,400,134,172,137,597,155,91,69,113,249,1132,.432,.345,.779,24.5,8.1,4.3,1.1
280,Mo Williams\willima01,2004,2013,2,103,2190,344,836,69,193,119,141,47,182,361,74,11,176,192,876,.411,.358,.844,21.3,8.5,1.8,3.5
281,Nate Williams\willina01,1975,1978,4,222,4959,1134,2483,,,458,572,313,914,300,250,51,25,613,2726,.457,,.801,22.3,12.3,4.1,1.4
282,Rickey Williams\williri01,1983,1983,1,44,346,56,135,0,3,35,53,15,38,37,20,4,38,42,147,.415,.000,.660,7.9,3.3,0.9,0.8
283,Jeff Withey\witheje01,2016,2017,2,102,1090,142,265,0,3,79,107,108,294,27,37,85,42,127,363,.536,.000,.738,10.7,3.6,2.9,0.3
284,Nate Wolters\woltena01,2018,2018,1,5,19,1,6,0,0,0,0,1,2,1,0,0,0,1,2,.167,,,3.8,0.4,0.4,0.2
285,Howard Wood\woodho01,1982,1982,1,42,342,55,120,0,1,34,52,22,65,9,8,6,15,37,144,.458,.000,.654,8.1,3.4,1.5,0.2
286,Sam Worthen\worthsa01,1982,1982,1,5,22,2,5,0,0,0,0,1,1,3,0,0,2,3,4,.400,,,4.4,0.8,0.2,0.6
287,Luther Wright\wrighlu01,1994,1994,1,15,92,8,23,0,1,3,4,6,10,0,1,2,6,21,19,.348,.000,.750,6.1,1.3,0.7,0.0
