,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
28,Chris Bosh\boshch01,2011,2016,6,384,13121,2595,5235,255,742,1469,1824,558,2816,680,333,332,681,830,6914,.496,.344,.805,34.2,18.0,7.3,1.8
29,Bruce Bowen\bowenbr01,1997,2001,3,110,3253,257,702,129,363,117,192,58,305,150,97,64,88,350,760,.366,.355,.609,29.6,6.9,2.8,1.4
30,Ernest Brown\browner01,2002,2002,1,3,21,1,6,0,0,1,4,1,6,0,0,1,3,4,3,.167,,.250,7.0,1.0,2.0,0.0
31,P.J. Brown\brownpj01,1997,2000,4,284,8867,1129,2394,0,3,545,722,805,2251,406,262,305,379,977,2803,.472,.000,.755,31.2,9.9,7.9,1.4
32,Shannon Brown\brownsh01,2015,2015,1,5,89,7,19,3,7,3,4,0,1,3,4,0,4,8,20,.368,.429,.750,17.8,4.0,0.2,0.6
33,Rodney Buford\buforro01,2000,2000,1,34,386,62,151,7,29,16,22,10,48,21,10,8,9,44,147,.411,.241,.727,11.4,4.3,1.4,0.6
34,Willie Burton\burtowi01,1991,1994,4,223,4661,799,1819,18,75,636,823,259,712,285,149,97,367,615,2252,.439,.240,.773,20.9,10.1,3.2,1.3
35,Caron Butler\butleca01,2003,2004,2,146,4888,669,1663,44,149,442,551,227,723,339,212,44,283,392,1824,.402,.295,.802,33.5,12.5,5.0,2.3
36,Rasual Butler\butlera01,2003,2005,3,182,3392,489,1231,157,432,129,173,48,398,178,49,85,142,281,1264,.397,.363,.746,18.6,6.9,2.2,1.0
37,Anthony Carter\cartean01,2000,2003,4,246,5451,568,1482,10,90,210,313,125,579,1063,261,23,445,476,1356,.383,.111,.671,22.2,5.5,2.4,4.3
38,Duane Causwell\causwdu01,1998,2001,4,112,1069,109,246,0,0,57,101,77,264,14,17,72,69,214,275,.443,,.564,9.5,2.5,2.4,0.1
