,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
378,Dave Piontek\piontda01,1960,1961,2,54,976,122,293,,,61,111,,188,53,,,,99,305,.416,,.550,18.1,5.6,3.5,1.0
379,Dexter Pittman\pittmde01,2014,2014,1,2,3,0,1,0,0,0,2,3,3,0,0,0,0,0,0,.000,,.000,1.5,0.0,1.5,0.0
380,Miles Plumlee\plumlmi01,2018,2019,2,57,946,112,188,0,0,32,69,81,234,47,18,30,65,82,256,.596,,.464,16.6,4.5,4.1,0.8
381,Josh Powell\poweljo01,2011,2011,1,54,653,94,208,0,1,36,45,49,135,22,5,5,53,78,224,.452,.000,.800,12.1,4.1,2.5,0.4
382,Alex Poythress\poythal01,2019,2019,1,4,72,8,15,2,5,3,9,6,15,6,2,1,4,14,21,.533,.400,.333,18.0,5.3,3.8,1.5
383,Joel Przybilla\przybjo01,2004,2004,1,12,314,18,50,0,0,12,29,31,101,4,5,17,16,48,48,.360,,.414,26.2,4.0,8.4,0.3
384,Vladimir Radmanovic\radmavl01,2012,2012,1,49,755,74,197,50,135,22,29,34,143,54,21,15,35,62,220,.376,.370,.759,15.4,4.5,2.9,1.1
385,Cal Ramsey\ramseca01,1960,1960,1,4,35,7,19,,,3,4,,19,0,,,,4,17,.368,,.750,8.8,4.3,4.8,0.0
386,Blair Rasmussen\rasmubl01,1992,1993,2,103,2251,377,806,7,29,39,53,114,448,112,40,58,63,294,800,.468,.241,.736,21.9,7.8,4.3,1.1
387,George Ratkovicz\ratkoge01,1953,1955,3,139,4310,392,1096,,,429,632,,1010,366,,,,524,1213,.358,,.679,31.0,8.7,7.3,2.6
388,Theo Ratliff\ratlith01,2002,2004,3,137,4248,457,988,0,0,256,372,264,1004,125,87,436,230,468,1170,.463,,.688,31.0,8.5,7.3,0.9
389,Leo Rautins\rautile01,1985,1985,1,4,12,0,2,0,0,0,0,1,2,3,0,0,1,3,0,.000,,,3.0,0.0,0.5,0.8
390,Don Ray\raydo01,1950,1950,1,61,,130,403,,,104,149,,,60,,,,147,364,.323,,.698,,6.0,,1.0
391,Zeljko Rebraca\rebraze01,2004,2004,1,3,51,12,23,0,0,1,2,4,9,2,0,2,4,7,25,.522,,.500,17.0,8.3,3.0,0.7
