,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
86,Carldell Johnson\johnsca01,2012,2012,1,15,119,11,35,4,15,1,3,1,9,22,8,0,7,11,27,.314,.267,.333,7.9,1.8,0.6,1.5
87,Chris Johnson\johnsch03,2012,2012,1,7,82,9,18,0,0,5,7,7,22,1,5,1,8,13,23,.500,,.714,11.7,3.3,3.1,0.1
88,Linton Johnson\johnsli01,2006,2007,2,81,1209,149,329,23,66,47,60,92,278,30,43,30,51,155,368,.453,.348,.783,14.9,4.5,3.4,0.4
89,Orlando Johnson\johnsor01,2016,2016,1,5,54,4,17,1,5,1,2,1,6,2,1,0,3,4,10,.235,.200,.500,10.8,2.0,1.2,0.4
90,Trey Johnson\johnstr01,2012,2012,1,11,61,8,14,0,0,5,5,3,12,4,1,0,5,10,21,.571,,1.000,5.5,1.9,1.1,0.4
91,Jalen Jones\jonesja04,2018,2018,1,4,19,1,4,1,1,2,2,0,3,0,0,0,0,2,5,.250,1.000,1.000,4.8,1.3,0.8,0.0
92,Solomon Jones\jonesso01,2012,2012,1,11,196,23,53,0,0,15,18,21,41,7,5,6,13,31,61,.434,,.833,17.8,5.5,3.7,0.6
93,Terrence Jones\joneste01,2017,2017,1,51,1264,231,489,19,75,103,170,65,303,59,39,53,48,67,584,.472,.253,.606,24.8,11.5,5.9,1.2
94,Chris Kaman\kamanch01,2012,2012,1,47,1372,266,597,0,0,84,107,89,364,101,25,77,129,106,616,.446,,.785,29.2,13.1,7.7,2.1
95,Maciej Lampe\lampema01,2005,2006,2,23,277,32,87,0,1,7,10,16,61,12,4,5,8,33,71,.368,.000,.700,12.0,3.1,2.7,0.5
96,Carl Landry\landrca01,2011,2012,2,64,1601,289,565,0,4,205,257,116,308,51,23,24,91,160,783,.512,.000,.798,25.0,12.2,4.8,0.8
97,Walt Lemon Jr.\lemonwa01,2018,2018,1,5,35,7,16,1,1,2,3,0,2,5,0,1,4,5,17,.438,1.000,.667,7.0,3.4,0.4,1.0
98,DeAndre Liggins\liggide01,2018,2018,1,27,244,18,41,8,17,0,0,2,26,21,10,4,7,20,44,.439,.471,,9.0,1.6,1.0,0.8
99,Randy Livingston\livinra01,2003,2003,1,2,12,2,4,0,0,2,2,0,0,1,0,0,0,0,6,.500,,1.000,6.0,3.0,0.0,0.5
100,Robin Lopez\lopezro01,2013,2013,1,82,2136,384,719,0,0,161,207,226,462,64,32,128,110,167,929,.534,,.778,26.0,11.3,5.6,0.8
101,George Lynch\lynchge01,2003,2005,3,203,4131,364,923,82,255,92,148,290,839,309,146,49,173,378,902,.394,.322,.622,20.3,4.4,4.1,1.5
102,Arvydas Macijauskas\macijar01,2006,2006,1,19,135,14,41,3,12,13,15,3,10,5,7,0,8,10,44,.341,.250,.867,7.1,2.3,0.5,0.3
103,Jamaal Magloire\magloja01,2003,2005,3,187,5923,786,1671,0,4,658,915,607,1776,203,100,235,418,628,2230,.470,.000,.719,31.7,11.9,9.5,1.1
104,Sean Marks\marksse01,2009,2010,2,74,913,84,173,2,10,32,49,76,210,16,7,36,37,138,202,.486,.200,.653,12.3,2.7,2.8,0.2
105,Jamal Mashburn\mashbja01,2003,2004,2,101,4051,826,1984,138,373,378,449,85,615,509,97,22,267,238,2168,.416,.370,.842,40.1,21.5,6.1,5.0
106,Desmond Mason\masonde01,2006,2007,2,145,4677,682,1590,1,6,420,625,188,643,181,94,39,305,310,1785,.429,.167,.672,32.3,12.3,4.4,1.2
107,Roger Mason\masonro01,2013,2013,1,69,1219,132,305,66,159,39,43,11,132,74,26,11,51,104,369,.433,.415,.907,17.7,5.3,1.9,1.1
108,Dominic McGuire\mcguido01,2013,2013,1,9,145,9,21,0,0,1,2,7,28,9,8,3,5,13,19,.429,,.500,16.1,2.1,3.1,1.0
109,Gal Mekel\mekelga01,2015,2015,1,4,43,3,20,0,3,0,0,0,1,13,2,0,2,1,6,.150,.000,,10.8,1.5,0.3,3.3
110,Pops Mensah-Bonsu\mensapo01,2011,2011,1,7,35,1,3,0,0,0,0,3,11,2,0,0,2,11,2,.333,,,5.0,0.3,1.6,0.3
111,Darius Miller\milleda01,2013,2019,5,187,3460,338,779,197,501,96,112,35,296,204,71,38,107,350,969,.434,.393,.857,18.5,5.2,1.6,1.1
112,Nikola Mirotic\mirotni01,2018,2019,2,33,963,195,441,77,220,56,72,52,277,46,29,27,33,71,523,.442,.350,.778,29.2,15.8,8.4,1.4
113,Jerome Moiso\moisoje01,2003,2003,1,51,644,89,171,0,0,27,41,59,178,22,19,44,46,87,205,.520,,.659,12.6,4.0,3.5,0.4
114,E'Twaun Moore\mooreet01,2017,2019,3,158,4498,725,1487,208,520,109,146,92,395,357,131,46,166,323,1767,.488,.400,.747,28.5,11.2,2.5,2.3
115,Anthony Morrow\morroan01,2014,2014,1,76,1426,238,520,88,195,72,87,29,140,59,38,12,51,102,636,.458,.451,.828,18.8,8.4,1.8,0.8
116,Donatas Motiejunas\motiedo01,2017,2017,1,34,479,57,138,11,47,25,49,26,101,32,18,11,31,55,150,.413,.234,.510,14.1,4.4,3.0,0.9
117,Bostjan Nachbar\nachbbo01,2005,2006,2,80,1542,188,492,82,232,113,141,24,201,87,41,21,88,205,571,.382,.353,.801,19.3,7.1,2.5,1.1
118,Lee Nailon\nailole01,2005,2005,1,68,2017,415,869,0,2,133,165,128,298,109,36,16,110,190,963,.478,.000,.806,29.7,14.2,4.4,1.6
119,Jameer Nelson\nelsoja01,2018,2018,1,43,897,84,205,40,110,13,17,11,96,156,23,3,56,67,221,.410,.364,.765,20.9,5.1,2.2,3.6
120,Moochie Norris\norrimo01,2006,2006,1,16,183,20,47,4,9,16,25,3,20,21,6,0,17,18,60,.426,.444,.640,11.4,3.8,1.3,1.3
121,Emeka Okafor\okafoem01,2010,2018,4,207,5791,810,1489,0,1,355,628,598,1759,129,118,305,280,551,1975,.544,.000,.565,28.0,9.5,8.5,0.6
122,Jahlil Okafor\okafoja01,2019,2019,1,2,9,1,2,0,0,2,2,1,3,1,0,0,3,2,4,.500,,1.000,4.5,2.0,1.5,0.5
123,Arinze Onuaku\onuakar01,2014,2014,1,3,25,1,4,0,0,1,2,2,7,3,0,0,1,3,3,.250,,.500,8.3,1.0,2.3,1.0
124,Robert Pack\packro01,2003,2003,1,28,440,52,129,0,5,41,55,11,51,81,25,0,40,35,145,.403,.000,.745,15.7,5.2,1.8,2.9
125,Jannero Pargo\pargoja01,2007,2008,2,162,3207,537,1344,146,395,175,203,46,310,395,103,9,215,244,1395,.400,.370,.862,19.8,8.6,1.9,2.4
126,Chris Paul\paulch01,2006,2011,6,425,15761,2793,5929,379,1055,1971,2310,304,1951,4228,1010,36,1065,1083,7936,.471,.359,.853,37.1,18.7,4.6,9.9
127,Sasha Pavlovic\pavloal01,2011,2011,1,4,50,2,11,0,5,0,0,0,6,6,0,4,1,4,4,.182,.000,,12.5,1.0,1.5,1.5
