,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
309,Ricky Sobers\soberri01,1976,1977,2,157,3903,694,1457,,,401,481,162,493,453,199,21,,511,1789,.476,,.834,24.9,11.4,3.1,2.9
310,Alex Stivrins\stivral01,1993,1993,1,10,35,11,18,0,1,0,0,2,8,1,1,1,5,7,22,.611,.000,,3.5,2.2,0.8,0.1
311,Amar'e Stoudemire\stoudam01,2003,2010,8,516,17686,3988,7337,15,79,3044,4018,1378,4613,677,447,722,1325,1772,11035,.544,.190,.758,34.3,21.4,8.9,1.3
312,Paul Stovall\stovapa01,1973,1973,1,25,211,26,76,,,24,38,,61,13,,,,37,76,.342,,.632,8.4,3.0,2.4,0.5
313,D.J. Strawberry\strawdj01,2008,2008,1,33,270,29,92,6,25,9,19,9,28,30,12,6,11,36,73,.315,.240,.474,8.2,2.2,0.8,0.9
314,Stromile Swift\swiftst01,2009,2009,1,13,121,15,41,1,1,8,15,11,33,2,4,6,9,25,39,.366,1.000,.533,9.3,3.0,2.5,0.2
315,Aaron Swinson\swinsaa01,1995,1995,1,9,51,10,18,0,0,4,5,3,8,3,1,0,5,8,24,.556,,.800,5.7,2.7,0.9,0.3
316,Yuta Tabuse\tabusyu01,2005,2005,1,4,17,1,6,1,1,4,4,2,4,3,0,0,1,1,7,.167,1.000,1.000,4.3,1.8,1.0,0.8
317,Fred Taylor\taylofr01,1971,1972,2,67,621,116,311,,,82,138,,103,58,,,,121,314,.373,,.594,9.3,4.7,1.5,0.9
318,Mirza Teletovic\teletmi01,2016,2016,1,79,1686,332,777,181,460,120,155,55,302,89,32,21,84,159,965,.427,.393,.774,21.3,12.2,3.8,1.1
319,Sebastian Telfair\telfase01,2012,2013,2,106,1690,235,589,76,218,97,124,32,159,252,69,22,121,204,643,.399,.349,.782,15.9,6.1,1.5,2.4
320,Ira Terrell\terreir01,1977,1977,1,78,1751,277,545,,,111,176,99,387,103,41,47,,165,665,.508,,.631,22.4,8.5,5.0,1.3
321,David Thirdkill\thirdda01,1983,1983,1,49,521,74,170,1,7,45,78,28,72,36,19,4,48,93,194,.435,.143,.577,10.6,4.0,1.5,0.7
