,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
355,Awvee Storey\storeaw01,2006,2006,1,25,116,16,41,3,7,8,14,8,22,4,3,1,5,22,43,.390,.429,.571,4.6,1.7,0.9,0.2
356,Rod Strickland\stricro02,1997,2001,5,304,10857,1724,3931,42,204,1229,1677,361,1316,2712,482,66,948,641,4719,.439,.206,.733,35.7,15.5,4.3,8.9
357,Roger Strickland\stricro01,1964,1964,1,1,4,1,3,,,0,0,,0,0,,,,1,2,.333,,,4.0,2.0,0.0,0.0
358,Derek Strong\stronde01,1992,1992,1,1,12,0,4,0,0,3,4,1,5,1,0,0,1,1,3,.000,,.750,12.0,3.0,5.0,1.0
359,Donell Taylor\taylodo01,2006,2007,2,98,834,109,276,7,34,41,64,30,106,90,47,7,59,81,266,.395,.206,.641,8.5,2.7,1.1,0.9
360,Garrett Temple\templga01,2013,2016,4,258,4480,425,1074,154,455,182,253,110,493,383,196,55,201,437,1186,.396,.338,.719,17.4,4.6,1.9,1.5
361,Carlos Terry\terryca01,1981,1983,3,94,1078,122,281,0,11,41,61,75,227,124,54,27,82,162,285,.434,.000,.672,11.5,3.0,2.4,1.3
362,Billy Thomas\thomabi01,2006,2006,1,17,131,13,40,10,30,2,2,5,14,9,10,1,6,19,38,.325,.333,1.000,7.7,2.2,0.8,0.5
363,Etan Thomas\thomaet01,2002,2009,7,373,6681,849,1645,0,0,536,893,653,1840,146,123,407,362,839,2234,.516,,.600,17.9,6.0,4.9,0.4
364,Rod Thorn\thornro01,1964,1964,1,75,2594,411,1015,,,258,353,,360,281,,,,187,1080,.405,,.731,34.6,14.4,4.8,3.7
365,Al Thornton\thornal01,2010,2011,2,73,1743,254,543,10,42,131,179,77,258,80,48,22,80,165,649,.468,.238,.732,23.9,8.9,3.5,1.1
366,Bob Thornton\thornbo01,1996,1996,1,7,31,1,6,0,0,1,2,6,12,0,1,0,1,7,3,.167,,.500,4.4,0.4,1.7,0.0
367,Marcus Thornton\thornma01,2016,2017,2,47,799,126,317,46,134,39,48,29,111,60,32,4,36,65,337,.397,.343,.813,17.0,7.2,2.4,1.3
368,Otis Thorpe\thorpot01,1999,1999,1,49,1539,240,440,0,2,74,106,96,334,101,42,19,88,196,554,.545,.000,.698,31.4,11.3,6.8,2.1
369,John Tresvant\tresvjo01,1971,1973,3,187,3219,431,943,,,301,402,,838,192,,,,461,1163,.457,,.749,17.2,6.2,4.5,1.0
370,Al Tucker\tuckeal01,1970,1971,2,59,538,101,211,,,58,73,,126,14,,,,67,260,.479,,.795,9.1,4.4,2.1,0.2
371,Anthony Tucker\tuckean01,1995,1995,1,62,982,96,210,0,1,51,83,44,170,68,46,11,56,129,243,.457,.000,.614,15.8,3.9,2.7,1.1
372,Ronny Turiaf\turiaro01,2012,2012,1,4,58,3,3,0,0,0,0,1,12,5,6,3,6,7,6,1.000,,,14.5,1.5,3.0,1.3
373,Andre Turner\turnean01,1992,1992,1,70,871,111,261,1,16,61,77,17,90,177,57,2,84,59,284,.425,.063,.792,12.4,4.1,1.3,2.5
374,Jack Turner\turneja02,1962,1962,1,42,567,84,221,,,32,42,,85,44,,,,51,200,.380,,.762,13.5,4.8,2.0,1.0
375,Melvin Turpin\turpime01,1990,1990,1,59,818,110,209,0,2,56,71,88,221,27,15,47,45,135,276,.526,.000,.789,13.9,4.7,3.7,0.5
376,Charlie Tyra\tyrach01,1962,1962,1,78,1606,193,534,,,133,214,,610,86,,,,210,519,.361,,.621,20.6,6.7,7.8,1.1
377,Edwin Ubiles\ubileed01,2012,2012,1,4,52,5,18,1,5,3,3,2,10,1,1,1,1,1,14,.278,.200,1.000,13.0,3.5,2.5,0.3
378,Wes Unseld\unselwe01,1969,1981,13,984,35832,4369,8586,3,6,1883,2976,2085,13769,3822,628,367,579,2762,10624,.509,.500,.633,36.4,10.8,14.0,3.9
379,David Vanterpool\vanteda01,2001,2001,1,22,411,46,110,0,6,30,50,15,37,66,23,3,37,44,122,.418,.000,.600,18.7,5.5,1.7,3.0
380,Loy Vaught\vaughlo01,2001,2001,1,14,157,25,48,0,0,4,4,16,50,7,6,2,8,13,54,.521,,1.000,11.2,3.9,3.6,0.5
381,Jan Vesely\veselja01,2012,2014,3,141,2149,222,424,0,2,53,131,197,484,85,80,68,109,327,497,.524,.000,.405,15.2,3.5,3.4,0.6
382,Jay Vincent\vinceja01,1987,1987,1,51,1386,274,613,0,3,130,169,69,210,85,40,17,77,127,678,.447,.000,.769,27.2,13.3,4.1,1.7
383,Darrell Walker\walkeda01,1988,1991,4,283,8693,946,2203,2,45,455,644,491,1846,1707,434,96,580,739,2349,.429,.044,.707,30.7,8.3,6.5,6.0
384,Horace Walker\walkeho01,1962,1962,1,65,1331,149,439,,,140,193,,466,69,,,,194,438,.339,,.725,20.5,6.7,7.2,1.1
385,Kenny Walker\walkeke01,1994,1995,2,97,1663,150,316,0,3,108,153,137,336,40,31,64,59,198,408,.475,.000,.706,17.1,4.2,3.5,0.4
386,Phil Walker\walkeph01,1978,1978,1,40,384,57,161,,,64,96,21,52,54,14,5,62,39,178,.354,,.667,9.6,4.5,1.3,1.4
387,Samaki Walker\walkesa01,2005,2005,1,14,134,11,31,0,0,2,3,8,18,4,3,7,8,25,24,.355,,.667,9.6,1.7,1.3,0.3
388,John Wall\walljo01,2011,2019,9,545,19580,3723,8618,490,1511,2360,3007,318,2380,5033,933,373,2085,1229,10296,.432,.324,.785,35.9,18.9,4.4,9.2
389,Ben Wallace\wallabe01,1997,1999,3,147,2552,216,409,0,0,88,250,274,766,38,119,173,82,254,520,.528,,.352,17.4,3.5,5.2,0.3
390,Rasheed Wallace\wallara01,1996,1996,1,65,1788,275,565,27,82,78,120,93,303,85,42,54,103,206,655,.487,.329,.650,27.5,10.1,4.7,1.3
391,Ben Warley\warlebe01,1966,1967,2,118,1804,240,593,,,198,267,,540,76,,,,304,678,.405,,.742,15.3,5.7,4.6,0.6
392,Bryan Warrick\warribr01,1983,1984,2,75,981,92,237,1,8,50,73,20,91,169,30,11,91,140,235,.388,.125,.685,13.1,3.1,1.2,2.3
393,Stan Washington\washist01,1975,1975,1,1,4,0,1,,,0,0,0,0,0,0,0,,1,0,.000,,,4.0,0.0,0.0,0.0
