,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
174,Jermaine Jackson\jacksje01,2006,2006,1,30,202,11,26,1,4,12,14,8,27,25,4,1,13,19,35,.423,.250,.857,6.7,1.2,0.9,0.8
175,Stephen Jackson\jacksst02,2012,2012,1,26,712,97,272,30,108,50,60,16,82,77,26,6,66,61,274,.357,.278,.833,27.4,10.5,3.2,3.0
176,Mike James\jamesmi01,2005,2005,1,47,1167,205,460,58,152,67,90,23,122,185,40,4,80,114,535,.446,.382,.744,24.8,11.4,2.6,3.9
177,Richard Jefferson\jefferi01,2009,2009,1,82,2939,537,1222,116,292,417,518,57,374,199,66,14,165,252,1607,.439,.397,.805,35.8,19.6,4.6,2.4
178,Brandon Jennings\jennibr01,2010,2018,5,305,10273,1805,4582,554,1573,855,1049,204,1019,1705,435,75,713,602,5019,.394,.352,.815,33.7,16.5,3.3,5.6
179,Yi Jianlian\jianlyi01,2008,2008,1,66,1647,219,520,6,21,122,145,106,344,55,36,56,90,153,566,.421,.286,.841,25.0,8.6,5.2,0.8
180,Chris Johnson\johnsch04,2015,2015,1,8,128,12,30,5,18,2,2,2,11,5,5,2,0,7,31,.400,.278,1.000,16.0,3.9,1.4,0.6
181,Ervin Johnson\johnser02,1998,2006,7,461,10309,758,1482,0,2,413,705,1064,3050,215,305,586,382,1447,1929,.511,.000,.586,22.4,4.2,6.6,0.5
182,George Johnson\johnsge03,1979,1979,1,67,1157,165,342,,,84,117,106,360,81,75,49,100,187,414,.482,,.718,17.3,6.2,5.4,1.2
183,Marques Johnson\johnsma01,1978,1984,7,524,18240,4546,8583,8,55,1880,2554,1468,3923,1934,697,439,1241,1323,10980,.530,.145,.736,34.8,21.0,7.5,3.7
184,Mickey Johnson\johnsmi01,1981,1983,3,164,4205,781,1669,4,27,502,632,325,1024,512,167,118,433,518,2068,.468,.148,.794,25.6,12.6,6.2,3.1
185,Damon Jones\jonesda01,2004,2009,2,100,2124,221,558,109,301,55,72,15,176,485,33,4,109,96,606,.396,.362,.764,21.2,6.1,1.8,4.9
186,Earl Jones\jonesea01,1986,1986,1,12,43,5,12,0,0,3,4,4,10,4,0,1,7,13,13,.417,,.750,3.6,1.1,0.8,0.3
187,Terrence Jones\joneste01,2017,2017,1,3,6,0,3,0,0,0,0,0,3,0,1,1,0,0,0,.000,,,2.0,0.0,1.0,0.0
188,Wali Jones\joneswa02,1972,1973,2,75,1449,203,499,,,90,108,,104,197,,,,151,496,.407,,.833,19.3,6.6,1.4,2.6
189,Adonis Jordan\jordaad01,1999,1999,1,4,18,2,4,0,2,2,4,0,0,3,3,0,2,0,6,.500,.000,.500,4.5,1.5,0.0,0.8
190,Jerome Kersey\kerseje01,2001,2001,1,22,243,32,69,0,1,8,16,8,45,15,14,8,6,36,72,.464,.000,.500,11.0,3.3,2.0,0.7
191,Randolph Keys\keysra01,1996,1996,1,69,816,87,208,22,71,36,43,41,125,65,32,14,33,139,232,.418,.310,.837,11.8,3.4,1.8,0.9
192,Sean Kilpatrick\kilpase01,2018,2018,1,23,205,31,82,13,46,18,19,1,25,15,5,1,9,15,93,.378,.283,.947,8.9,4.0,1.1,0.7
193,Toby Kimball\kimbato01,1972,1972,1,74,971,107,229,,,44,81,,312,60,,,,137,258,.467,,.543,13.1,3.5,4.2,0.8
194,Brandon Knight\knighbr03,2014,2015,2,124,4088,785,1837,214,592,430,517,72,476,633,153,26,354,239,2214,.427,.361,.832,33.0,17.9,3.8,5.1
195,Brevin Knight\knighbr01,2004,2004,1,21,420,46,105,1,3,30,38,3,48,98,29,0,25,56,123,.438,.333,.789,20.0,5.9,2.3,4.7
196,Frank Kornet\kornefr01,1990,1991,2,89,595,65,176,10,38,31,52,35,95,30,19,4,34,82,171,.369,.263,.596,6.7,1.9,1.1,0.3
197,Larry Krystkowiak\krystla01,1988,1992,4,225,5751,826,1810,4,22,546,680,433,1346,296,175,31,338,615,2202,.456,.182,.803,25.6,9.8,6.0,1.3
