,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
310,David West\westda01,2012,2015,4,285,8727,1632,3350,14,63,701,903,491,1987,799,235,237,503,655,3979,.487,.222,.776,30.6,14.0,7.0,2.8
311,Mark West\westma01,1998,1998,1,15,105,10,21,0,0,3,6,6,15,2,2,4,8,15,23,.476,,.500,7.0,1.5,1.0,0.1
312,Clinton Wheeler\wheelcl01,1988,1988,1,59,513,62,132,0,0,25,34,19,40,103,36,2,52,37,149,.470,,.735,8.7,2.5,0.7,1.7
313,Shayne Whittington\whittsh01,2015,2016,2,27,149,24,53,1,8,19,25,15,41,9,6,3,10,25,68,.453,.125,.760,5.5,2.5,1.5,0.3
314,Damien Wilkins\wilkida02,2018,2018,1,19,152,13,39,4,18,3,4,5,16,9,2,1,5,7,33,.333,.222,.750,8.0,1.7,0.8,0.5
315,Herb Williams\willihe01,1982,1989,8,577,18455,3606,7576,4,57,1421,2013,1152,4494,1402,398,1094,1420,1740,8637,.476,.070,.706,32.0,15.0,7.8,2.4
316,John Williams\willijo02,1995,1995,1,34,402,41,115,4,12,14,25,23,62,27,10,2,35,48,100,.357,.333,.560,11.8,2.9,1.8,0.8
317,Kenny Williams\willike03,1991,1994,4,260,2918,547,1070,0,14,153,225,315,693,161,76,166,136,366,1247,.511,.000,.680,11.2,4.8,2.7,0.6
318,Micheal Williams\willimi02,1991,1992,2,152,4456,665,1347,9,40,662,757,122,458,995,383,39,390,464,2001,.494,.225,.875,29.3,13.2,3.0,6.5
319,Reggie Williams\willire01,1997,1997,1,2,33,2,9,0,1,1,2,1,7,2,0,0,2,5,5,.222,.000,.500,16.5,2.5,3.5,1.0
320,Shawne Williams\willish03,2007,2008,2,111,1523,234,532,62,189,87,126,87,259,81,32,34,82,201,617,.440,.328,.690,13.7,5.6,2.3,0.7
321,John Williamson\willijo01,1977,1978,2,72,2504,596,1339,,,232,286,52,194,243,95,7,127,234,1424,.445,,.811,34.8,19.8,2.7,3.4
322,Bobby Wilson\wilsobo03,1978,1978,1,12,86,14,36,,,2,3,6,12,8,2,1,6,16,30,.389,,.667,7.2,2.5,1.0,0.7
323,Marv Winkler\winklma01,1972,1972,1,20,155,15,54,2,4,8,14,7,16,12,,,12,16,40,.278,.500,.571,7.8,2.0,0.8,0.6
324,Randy Wittman\wittmra01,1989,1992,4,159,1718,185,389,2,9,22,33,31,126,154,32,10,56,65,394,.476,.222,.667,10.8,2.5,0.8,1.0
325,Haywoode Workman\workmha01,1994,1997,4,215,3987,408,1008,76,228,202,264,84,446,822,212,13,322,429,1094,.405,.333,.765,18.5,5.1,2.1,3.8
326,Metta World Peace\artesro01,2002,2006,5,193,6744,1115,2599,188,603,771,1057,268,1010,577,431,133,456,617,3189,.429,.312,.729,34.9,16.5,5.2,3.0
327,Joe Young\youngjo01,2016,2018,3,127,1077,168,427,40,135,53,69,19,130,119,33,1,64,74,429,.393,.296,.768,8.5,3.4,1.0,0.9
328,Sam Young\youngsa01,2013,2013,1,56,693,58,148,16,52,23,43,26,123,42,15,8,33,62,155,.392,.308,.535,12.4,2.8,2.2,0.8
329,Thaddeus Young\youngth01,2017,2019,3,160,4989,806,1592,104,303,103,185,322,982,279,252,67,206,324,1819,.506,.343,.557,31.2,11.4,6.1,1.7
330,Tony Zeno\zenoto01,1980,1980,1,8,59,6,21,0,0,2,2,3,14,1,4,3,9,13,14,.286,,1.000,7.4,1.8,1.8,0.1
