,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
343,Jacob Pullen\pulleja01,2018,2018,1,3,6,1,2,0,1,0,0,0,0,0,0,0,1,0,2,.500,.000,,2.0,0.7,0.0,0.0
344,Luther Rackley\rackllu01,1974,1974,1,9,68,5,13,,,8,11,5,22,0,3,4,,11,18,.385,,.727,7.6,2.0,2.4,0.0
345,Cal Ramsey\ramseca01,1961,1961,1,2,27,2,11,,,2,4,,7,3,,,,7,6,.182,,.500,13.5,3.0,3.5,1.5
346,Chasson Randle\randlch01,2017,2017,1,8,74,12,26,6,15,12,12,0,5,6,3,1,3,11,42,.462,.400,1.000,9.3,5.3,0.6,0.8
347,Shavlik Randolph\randosh01,2006,2008,3,79,693,71,159,0,0,55,93,83,198,26,27,25,32,111,197,.447,,.591,8.8,2.5,2.5,0.3
348,George Ratkovicz\ratkoge01,1950,1952,3,194,1356,591,1548,,,695,1029,,875,407,,,,692,1877,.382,,.675,20.5,9.7,6.6,2.1
349,Theo Ratliff\ratlith01,1998,2009,5,261,7662,955,1917,0,0,688,935,625,1809,175,162,757,422,816,2598,.498,,.736,29.4,10.0,6.9,0.7
350,Leo Rautins\rautile01,1984,1984,1,28,196,21,58,0,0,6,10,9,33,29,9,2,19,31,48,.362,,.600,7.0,1.7,1.2,1.0
351,Jim Ray\rayji01,1957,1960,2,8,64,3,17,,,3,5,,5,5,,,,7,9,.176,,.600,8.0,1.1,0.6,0.6
352,Craig Raymond\raymocr01,1969,1969,1,27,177,22,64,,,11,17,,68,8,,,,46,55,.344,,.647,6.6,2.0,2.5,0.3
353,J.J. Redick\redicjj01,2018,2019,2,75,2272,440,961,213,507,211,233,10,195,228,37,6,107,128,1304,.458,.420,.906,30.3,17.4,2.6,3.0
354,Marlon Redmond\redmoma01,1979,1979,1,4,23,1,12,,,0,0,0,1,1,0,0,1,3,2,.083,,,5.8,0.5,0.3,0.3
355,Jim Reid\reidji01,1968,1968,1,6,52,10,20,,,1,5,,11,3,,,,6,21,.500,,.200,8.7,3.5,1.8,0.5
356,Robert Reid\reidro01,1991,1991,1,3,37,2,14,0,0,0,0,2,9,4,1,3,3,3,4,.143,,,12.3,1.3,3.0,1.3
357,Efthimi Rentzias\rentzef01,2003,2003,1,35,144,20,59,4,8,8,9,10,26,7,6,2,4,21,52,.339,.500,.889,4.1,1.5,0.7,0.2
358,Clint Richardson\richacl01,1980,1985,6,426,8198,1189,2558,4,19,407,544,413,984,848,253,90,530,760,2789,.465,.211,.748,19.2,6.5,2.3,2.0
359,Jason Richardson\richaja01,2013,2015,2,52,1352,197,514,88,263,37,55,32,193,89,53,18,42,85,519,.383,.335,.673,26.0,10.0,3.7,1.7
360,Joe Roberts\roberjo01,1961,1963,3,181,2908,446,1166,,,226,349,,936,109,,,,421,1118,.383,,.648,16.1,6.2,5.2,0.6
361,Stanley Roberts\roberst01,2000,2000,1,5,51,5,16,0,1,0,3,6,15,3,1,1,2,15,10,.313,.000,.000,10.2,2.0,3.0,0.6
362,Cliff Robinson\robincl01,1987,1989,3,131,4112,911,1957,2,14,381,521,221,787,252,182,71,318,379,2205,.466,.143,.731,31.4,16.8,6.0,1.9
363,Glenn Robinson\robingl02,2015,2015,1,10,153,18,43,4,13,4,8,11,25,8,3,1,8,10,44,.419,.308,.500,15.3,4.4,2.5,0.8
364,Glenn Robinson\robingl01,2004,2004,1,42,1336,275,614,34,100,114,137,46,189,57,42,9,106,96,698,.448,.340,.832,31.8,16.6,4.5,1.4
365,Thomas Robinson\robinth01,2015,2015,1,22,407,79,169,0,2,35,58,62,170,24,16,9,26,50,193,.467,.000,.603,18.5,8.8,7.7,1.1
366,Red Rocha\rochare01,1952,1956,4,279,9353,1113,2932,,,930,1205,,1964,574,,,,992,3156,.380,,.772,33.5,11.3,7.0,2.1
367,Sergio Rodriguez\rodrise01,2017,2017,1,68,1518,210,536,92,252,18,27,21,157,344,49,4,128,95,530,.392,.365,.667,22.3,7.8,2.3,5.1
368,Rodney Rogers\rogerro01,2005,2005,1,28,485,63,161,23,76,20,28,33,104,26,22,8,20,69,169,.391,.303,.714,17.3,6.0,3.7,0.9
369,Jim Rowinski\rowinji01,1989,1989,1,3,7,1,2,0,0,1,2,1,3,0,0,0,0,0,3,.500,,.500,2.3,1.0,1.0,0.0
370,Michael Ruffin\ruffimi01,2002,2002,1,15,169,7,26,0,0,2,8,23,51,5,5,8,11,23,16,.269,,.250,11.3,1.1,3.4,0.3
371,Trevor Ruffin\ruffitr01,1996,1996,1,61,1551,263,648,104,284,148,182,21,132,269,43,2,149,132,778,.406,.366,.813,25.4,12.8,2.2,4.4
372,Jeff Ruland\rulanje01,1987,1992,2,18,325,39,66,0,0,20,28,28,75,15,7,8,30,58,98,.591,,.714,18.1,5.4,4.2,0.8
373,Bob Rule\rulebo01,1972,1973,2,63,1999,416,935,,,203,292,,481,111,,,,164,1035,.445,,.695,31.7,16.4,7.6,1.8
374,Kareem Rush\rushka01,2009,2009,1,25,199,20,58,10,33,4,4,0,15,15,5,1,10,10,54,.345,.303,1.000,8.0,2.2,0.6,0.6
375,John Salmons\salmojo01,2003,2006,4,281,5159,513,1263,117,356,287,375,114,596,518,192,48,282,445,1430,.406,.329,.765,18.4,5.1,2.1,1.8
376,JaKarr Sampson\sampsja02,2015,2016,2,121,1822,232,548,37,161,125,191,65,292,107,49,42,127,226,626,.423,.230,.654,15.1,5.2,2.4,0.9
377,Pepe Sanchez\sanchpe01,2001,2001,1,24,116,9,21,0,1,2,2,2,14,36,9,1,3,18,20,.429,.000,1.000,4.8,0.8,0.6,1.5
378,Dario Saric\saricda01,2017,2019,3,164,4599,806,1876,272,774,358,437,275,1073,398,111,52,341,339,2242,.430,.351,.819,28.0,13.7,6.5,2.4
379,Kenny Satterfield\satteke01,2003,2003,1,17,82,4,18,0,0,1,2,4,8,15,2,0,7,6,9,.222,,.500,4.8,0.5,0.5,0.9
380,Don Savage\savagdo01,1952,1957,2,17,173,15,62,,,24,35,,31,14,,,,29,54,.242,,.686,10.2,3.2,1.8,0.8
381,Bob Schafer\schafbo01,1957,1957,1,11,167,19,66,,,11,13,,11,15,,,,16,49,.288,,.846,15.2,4.5,1.0,1.4
382,Dolph Schayes\schaydo01,1950,1964,15,996,29800,5863,15427,,,6712,7904,,11256,3072,,,,3432,18438,.380,,.849,34.4,18.5,12.1,3.1
383,Dale Schlueter\schluda01,1973,1973,1,78,1136,166,317,,,86,123,,354,103,,,,166,418,.524,,.699,14.6,5.4,4.5,1.3
384,Russ Schoene\schoeru01,1983,1983,1,46,702,106,207,0,1,21,28,52,154,32,13,9,46,118,233,.512,.000,.750,15.3,5.1,3.3,0.7
385,Dave Scholz\scholda01,1970,1970,1,1,1,1,1,,,0,0,,0,0,,,,0,2,1.000,,,1.0,2.0,0.0,0.0
386,Fred Scolari\scolafr01,1951,1951,1,31,,129,410,,,110,132,,,127,,,,94,368,.315,,.833,,11.9,,4.1
387,Frank Selvy\selvyfr01,1960,1960,1,19,217,36,94,,,31,48,,48,30,,,,25,103,.383,,.646,11.4,5.4,2.5,1.6
388,Paul Seymour\seymopa01,1950,1960,11,600,14667,2012,5725,,,1736,2182,,1694,2335,,,,1329,5760,.351,,.796,30.1,9.6,3.1,3.9
389,Charles Shackleford\shackch01,1992,1993,2,120,1967,285,586,0,3,94,144,210,620,72,51,76,98,297,664,.486,.000,.653,16.4,5.5,5.2,0.6
390,Lee Shaffer\shaffle01,1962,1964,3,196,5488,1328,3160,,,635,818,,1240,232,,,,631,3291,.420,,.776,28.0,16.8,6.3,1.2
391,Landry Shamet\shamela01,2019,2019,1,5,95,7,24,6,18,1,2,2,9,5,3,1,2,4,21,.292,.333,.500,19.0,4.2,1.8,1.0
392,Brian Shaw\shawbr01,1998,1998,1,20,502,51,139,7,28,12,19,17,64,88,14,3,24,55,121,.367,.250,.632,25.1,6.1,3.2,4.4
393,Casey Shaw\shawca01,1999,1999,1,9,14,1,8,0,0,0,0,3,3,0,0,0,2,2,2,.125,,,1.6,0.2,0.3,0.0
394,Dexter Shouse\shousde01,1990,1990,1,3,18,0,4,0,1,0,0,0,0,2,1,1,2,2,0,.000,.000,,6.0,0.0,0.0,0.7
395,Alexey Shved\shvedal01,2015,2015,1,17,285,52,130,17,57,48,57,8,22,46,14,1,18,21,169,.400,.298,.842,16.8,9.9,1.3,2.7
396,Xavier Silas\silasxa01,2012,2012,1,2,39,4,15,1,6,2,3,2,4,3,0,0,3,5,11,.267,.167,.667,19.5,5.5,2.0,1.5
