,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
102,Alexander Johnson\johnsal01,2007,2007,1,59,753,91,169,0,0,78,118,50,181,17,25,35,47,137,260,.538,,.661,12.8,4.4,3.1,0.3
103,Brice Johnson\johnsbr02,2018,2018,1,9,60,13,31,0,0,1,3,7,18,1,3,4,1,6,27,.419,,.333,6.7,3.0,2.0,0.1
104,Chris Johnson\johnsch04,2013,2013,1,8,102,11,25,6,18,1,2,5,11,2,4,0,3,5,29,.440,.333,.500,12.8,3.6,1.4,0.3
105,James Johnson\johnsja01,2014,2014,1,52,956,143,308,22,87,76,90,60,166,111,42,57,66,102,384,.464,.253,.844,18.4,7.4,3.2,2.1
106,Omari Johnson\johnsom01,2018,2018,1,4,75,9,21,4,12,0,0,4,11,7,2,0,3,6,22,.429,.333,,18.8,5.5,2.8,1.8
107,Bobby Jones\jonesbo02,2008,2008,1,9,137,14,36,3,13,9,10,10,27,11,5,2,5,17,40,.389,.231,.900,15.2,4.4,3.0,1.2
108,Dahntay Jones\jonesda02,2004,2007,4,221,3441,427,967,32,97,247,342,85,349,140,95,54,183,404,1133,.442,.330,.722,15.6,5.1,1.6,0.6
109,Damon Jones\jonesda01,2001,2001,1,71,1415,170,416,84,231,37,52,16,124,224,36,1,76,58,461,.409,.364,.712,19.9,6.5,1.7,3.2
110,Eddie Jones\jonesed02,2006,2007,2,104,2998,349,873,155,448,193,249,49,340,210,153,29,116,255,1046,.400,.346,.775,28.8,10.1,3.3,2.0
111,Chris King\kingch01,1996,1996,1,80,1930,250,585,44,113,90,136,102,285,104,68,33,103,163,634,.427,.389,.662,24.1,7.9,3.6,1.3
112,Tarence Kinsey\kinseta01,2007,2008,2,59,1063,155,342,16,53,83,104,32,109,43,56,1,49,68,409,.453,.302,.798,18.0,6.9,1.8,0.7
113,Brevin Knight\knighbr01,2002,2003,2,108,2079,238,562,4,16,107,152,26,190,535,148,9,205,258,587,.423,.250,.704,19.3,5.4,1.8,5.0
114,Kosta Koufos\koufoko01,2014,2015,2,161,2697,409,817,0,0,115,178,281,844,76,61,134,136,330,933,.501,,.646,16.8,5.8,5.2,0.5
115,Acie Law\lawac01,2011,2011,1,11,94,3,19,0,6,6,10,3,11,14,4,0,10,10,12,.158,.000,.600,8.5,1.1,1.0,1.3
116,Eric Leckner\leckner01,1997,1997,1,19,115,14,30,0,0,6,12,5,35,4,3,2,10,32,34,.467,,.500,6.1,1.8,1.8,0.2
117,Courtney Lee\leeco01,2014,2016,3,177,5312,685,1493,190,504,268,311,61,434,310,172,47,175,298,1828,.459,.377,.862,30.0,10.3,2.5,1.8
118,Jon Leuer\leuerjo01,2013,2015,3,131,1562,257,543,30,78,78,113,95,389,69,39,22,65,159,622,.473,.385,.690,11.9,4.7,3.0,0.5
119,Grant Long\longgr01,2000,2002,3,174,4295,378,871,7,36,253,351,193,739,262,180,37,214,391,1016,.434,.194,.721,24.7,5.8,4.2,1.5
120,Felipe Lopez\lopezfe01,1999,2000,2,112,1999,280,640,15,62,154,244,128,290,106,81,31,135,222,729,.438,.242,.631,17.8,6.5,2.6,0.9
121,Kyle Lowry\lowryky01,2007,2009,3,141,3335,382,902,56,217,397,537,66,392,506,154,31,218,294,1217,.424,.258,.739,23.7,8.6,2.8,3.6
122,Kalin Lucas\lucaska01,2015,2015,1,1,6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,.000,,,6.0,0.0,0.0,0.0
123,George Lynch\lynchge01,1997,1998,2,123,2552,385,807,17,61,171,255,245,623,198,128,58,168,258,958,.477,.279,.671,20.7,7.8,5.1,1.6
124,Sam Mack\macksa01,1998,1999,2,76,1991,308,771,152,377,90,107,37,186,124,61,12,89,170,858,.399,.403,.841,26.2,11.3,2.4,1.6
125,Shelvin Mack\macksh01,2019,2019,1,4,102,11,29,2,6,7,11,1,10,10,3,0,6,9,31,.379,.333,.636,25.5,7.8,2.5,2.5
126,Rich Manning\manniri01,1996,1997,2,45,439,67,161,2,4,15,22,24,78,9,6,7,22,55,151,.416,.500,.682,9.8,3.4,1.7,0.2
127,Cuonzo Martin\marticu01,1996,1996,1,4,19,3,5,3,3,0,2,1,2,2,1,0,1,1,9,.600,1.000,.000,4.8,2.3,0.5,0.5
128,Darrick Martin\martida01,1996,1996,1,24,402,59,131,5,22,38,46,13,38,61,27,1,37,47,161,.450,.227,.826,16.8,6.7,1.6,2.5
129,Jarell Martin\martija01,2016,2018,3,142,2599,333,763,43,125,174,228,178,566,96,64,65,133,360,883,.436,.344,.763,18.3,6.2,4.0,0.7
130,Tony Massenburg\masseto01,1998,2002,4,229,4107,588,1245,1,3,336,479,338,1023,79,91,122,237,527,1513,.472,.333,.701,17.9,6.6,4.5,0.3
131,Lee Mayberry\maybele01,1997,1999,3,168,3913,287,738,148,411,71,102,48,251,701,132,18,214,336,793,.389,.360,.696,23.3,4.7,1.5,4.2
132,O.J. Mayo\mayooj01,2009,2012,4,301,9873,1708,3949,477,1272,691,846,182,999,818,333,79,625,642,4584,.433,.375,.817,32.8,15.2,3.3,2.7
133,Ray McCallum\mccalra01,2016,2016,1,10,219,28,79,10,26,3,5,2,16,27,7,3,13,15,69,.354,.385,.600,21.9,6.9,1.6,2.7
134,Ben McLemore\mclembe01,2018,2018,1,56,1091,157,373,55,159,53,64,34,139,51,38,15,61,139,422,.421,.346,.828,19.5,7.5,2.5,0.9
135,Darius Miles\milesda01,2009,2009,1,34,298,48,99,1,6,23,31,19,57,17,11,20,21,32,120,.485,.167,.742,8.8,3.5,1.7,0.5
