,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
14,Chucky Atkins\atkinch01,2001,2010,5,305,7441,1061,2599,409,1120,269,369,91,504,954,202,21,434,582,2800,.408,.365,.729,24.4,9.2,1.7,3.1
15,Stacey Augmon\augmost01,1997,1997,1,20,292,31,77,0,0,28,41,14,49,15,10,10,27,29,90,.403,,.683,14.6,4.5,2.5,0.8
16,D.J. Augustin\augusdj01,2015,2015,1,54,1287,189,461,49,150,147,169,13,100,265,33,2,110,61,574,.410,.327,.870,23.8,10.6,1.9,4.9
17,Ken Austin\austike01,1984,1984,1,7,28,6,13,0,0,0,0,2,3,1,1,1,3,7,12,.462,,,4.0,1.7,0.4,0.1
18,Steve Bardo\bardost01,1996,1996,1,9,123,9,23,0,4,4,6,2,22,15,4,1,5,17,22,.391,.000,.667,13.7,2.4,2.4,1.7
19,Marvin Barnes\barnema01,1977,1978,2,65,1258,255,570,,,120,185,97,344,64,45,44,29,182,630,.447,,.649,19.4,9.7,5.3,1.0
20,John Barnhill\barnhjo01,1966,1966,1,45,926,139,363,,,59,98,,112,113,,,,76,337,.383,,.602,20.6,7.5,2.5,2.5
21,Leo Barnhorst\barnhle01,1954,1954,1,17,185,12,57,,,5,6,,,12,,,,30,29,.211,,.833,10.9,1.7,,0.7
22,Dana Barros\barroda01,2001,2002,2,89,1661,257,604,68,176,89,107,7,151,188,44,4,93,100,671,.425,.386,.832,18.7,7.5,1.7,2.1
23,Jon Barry\barryjo01,2002,2003,2,162,3458,446,946,208,472,194,216,75,414,480,157,34,192,238,1294,.471,.441,.898,21.3,8.0,2.6,3.0
24,Aron Baynes\baynear01,2016,2017,2,156,2396,337,663,0,2,205,259,251,717,83,38,91,117,317,879,.508,.000,.792,15.4,5.6,4.6,0.5
25,Corey Beck\beckco01,1999,1999,1,8,30,4,8,0,0,2,2,3,5,0,2,0,2,5,10,.500,,1.000,3.8,1.3,0.6,0.0
26,William Bedford\bedfowi01,1988,1992,4,172,1469,254,589,6,20,91,145,121,317,52,19,88,87,218,605,.431,.300,.628,8.5,3.5,1.8,0.3
27,Ron Behagen\behagro01,1979,1979,1,1,1,0,0,,,0,0,0,0,0,0,0,1,1,0,,,,1.0,0.0,0.0,0.0
28,Walt Bellamy\bellawa01,1969,1970,2,109,3196,569,1085,,,416,665,,1113,154,,,,360,1554,.524,,.626,29.3,14.3,10.2,1.4
29,Kent Benson\bensoke01,1980,1986,7,398,10003,1590,3204,5,26,619,784,764,2437,734,353,348,641,1160,3804,.496,.192,.790,25.1,9.6,6.1,1.8
30,Don Bielke\bielkdo01,1956,1956,1,7,38,5,9,,,4,7,,9,1,,,,9,14,.556,,.571,5.4,2.0,1.3,0.1
31,Chauncey Billups\billuch01,2003,2014,8,482,16310,2357,5583,890,2240,2336,2620,232,1559,2984,495,76,1002,986,7940,.422,.397,.892,33.8,16.5,3.2,6.2
32,Dave Bing\bingda01,1967,1975,9,675,26052,5772,13119,,,3691,4789,194,2828,4330,225,43,,1956,15235,.440,,.771,38.6,22.6,4.2,6.4
33,Charlie Black\blackch01,1949,1950,2,53,,171,580,,,170,271,,,100,,,,204,512,.295,,.627,,9.7,,1.9
34,Norman Black\blackno01,1981,1981,1,3,28,3,10,0,0,2,8,0,2,2,1,0,1,2,8,.300,,.250,9.3,2.7,0.7,0.7
35,Steve Blake\blakest01,2016,2016,1,58,986,93,240,52,151,16,20,9,89,200,24,5,81,70,254,.388,.344,.800,17.0,4.4,1.5,3.4
36,Will Blalock\blalowi01,2007,2007,1,14,166,9,30,1,5,6,6,6,15,17,5,0,12,9,25,.300,.200,1.000,11.9,1.8,1.1,1.2
37,Lance Blanks\blankla01,1991,1992,2,81,403,51,116,8,32,18,25,13,42,45,23,3,32,61,128,.440,.250,.720,5.0,1.6,0.5,0.6
