,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Zaid Abdul-Aziz\abdulza01,1973,1978,4,206,4943,740,1692,,,486,625,426,1750,310,119,180,11,488,1966,.437,,.778,24.0,9.5,8.5,1.5
2,Mark Acres\acresma01,1993,1993,1,6,23,2,9,1,2,1,2,2,6,0,0,0,2,2,6,.222,.500,.500,3.8,1.0,1.0,0.0
3,Bud Acton\actonbu01,1968,1968,1,23,195,29,74,,,19,29,,47,11,,,,35,77,.392,,.655,8.5,3.3,2.0,0.5
4,Don Adams\adamsdo01,1971,1972,2,85,2415,397,976,,,156,214,,589,176,,,,351,950,.407,,.729,28.4,11.2,6.9,2.1
5,Rick Adelman\adelmri01,1969,1970,2,112,2165,273,696,,,199,295,,297,351,,,,248,745,.392,,.675,19.3,6.7,2.7,3.1
6,Jeff Adrien\adrieje01,2012,2012,1,8,63,7,16,0,0,7,12,5,22,1,0,2,2,13,21,.438,,.583,7.9,2.6,2.8,0.1
7,Cole Aldrich\aldrico01,2013,2013,1,30,213,23,43,0,0,4,9,12,57,6,3,9,14,41,50,.535,,.444,7.1,1.7,1.9,0.2
8,Rafer Alston\alstora01,2006,2009,4,267,9588,1220,3204,517,1478,413,566,118,941,1519,385,50,575,600,3370,.381,.350,.730,35.9,12.6,3.5,5.7
9,David Andersen\anderda03,2010,2010,1,63,891,147,340,27,78,46,67,54,208,44,15,12,37,119,367,.432,.346,.687,14.1,5.8,3.3,0.7
10,Derek Anderson\anderde01,2006,2006,1,20,582,68,173,19,67,61,73,12,83,53,15,4,37,49,216,.393,.284,.836,29.1,10.8,4.2,2.7
11,James Anderson\anderja01,2013,2013,1,29,307,41,101,16,49,17,19,15,58,33,12,3,18,18,115,.406,.327,.895,10.6,4.0,2.0,1.1
12,Richard Anderson\anderri01,1987,1988,2,63,365,70,165,10,31,26,34,33,96,37,8,3,20,41,176,.424,.323,.765,5.8,2.8,1.5,0.6
13,Ryan Anderson\anderry01,2017,2018,2,138,3841,530,1253,335,845,201,243,206,661,128,55,35,97,268,1596,.423,.396,.827,27.8,11.6,4.8,0.9
