,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
15,Dennis Awtrey\awtrede01,1979,1981,2,87,1106,71,156,0,0,39,56,62,212,103,25,15,64,154,181,.455,,.696,12.7,2.1,2.4,1.2
16,James Bailey\baileja01,1980,1982,3,159,3445,597,1225,1,2,328,473,280,852,139,98,204,317,490,1523,.487,.500,.693,21.7,9.6,5.4,0.9
17,Vin Baker\bakervi01,1998,2002,5,326,10794,2005,4201,5,42,1039,1645,946,2252,518,230,295,748,1148,5054,.477,.119,.632,33.1,15.5,6.9,1.6
18,Greg Ballard\ballagr01,1989,1989,1,2,15,1,8,0,1,4,4,2,7,0,0,0,0,3,6,.125,.000,1.000,7.5,3.0,3.5,0.0
19,Mike Bantom\bantomi01,1976,1977,2,110,2298,349,731,,,189,278,216,554,154,61,47,,321,887,.477,,.680,20.9,8.1,5.0,1.4
20,Norton Barnhill\barnhno01,1977,1977,1,4,10,2,6,,,0,0,2,3,1,0,0,,5,4,.333,,,2.5,1.0,0.8,0.3
21,Dana Barros\barroda01,1990,1993,4,291,4954,905,2016,274,674,276,333,87,391,592,190,9,291,299,2360,.449,.407,.829,17.0,8.1,1.3,2.0
22,Brent Barry\barrybr01,2000,2004,5,362,11827,1405,2902,669,1560,628,765,210,1529,1668,528,113,674,856,4107,.484,.429,.821,32.7,11.3,4.2,4.6
23,Drew Barry\barrydr01,1999,1999,1,17,183,10,32,8,24,9,13,3,20,29,7,1,12,24,37,.313,.333,.692,10.8,2.2,1.2,1.7
24,Butch Beard\beardbu01,1973,1973,1,73,1403,191,435,,,100,140,,174,247,,,,139,482,.439,,.714,19.2,6.6,2.4,3.4
25,Benoit Benjamin\benjabe01,1991,1993,3,125,3288,592,1216,0,2,305,442,219,880,133,84,207,314,332,1489,.487,.000,.690,26.3,11.9,7.0,1.1
26,Tom Black\blackto01,1971,1971,1,55,773,111,268,,,51,73,,225,42,,,,116,273,.414,,.699,14.1,5.0,4.1,0.8
27,Cory Blackwell\blackco01,1985,1985,1,60,551,87,237,0,2,28,55,42,96,26,25,3,44,55,202,.367,.000,.509,9.2,3.4,1.6,0.4
28,Calvin Booth\boothca01,2002,2004,3,133,2060,222,491,0,4,132,165,138,443,56,34,147,83,271,576,.452,.000,.800,15.5,4.3,3.3,0.4
