,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Gary Alexander\alexaga01,1994,1994,1,7,43,7,12,0,0,3,7,6,12,1,3,0,7,7,17,.583,,.429,6.1,2.4,1.7,0.1
2,Lance Allred\allrela01,2008,2008,1,3,10,1,4,0,0,1,2,0,1,0,0,0,0,1,3,.250,,.500,3.3,1.0,0.3,0.0
3,John Amaechi\amaecjo01,1996,1996,1,28,357,29,70,0,0,19,33,13,52,9,6,11,34,49,77,.414,,.576,12.8,2.8,1.9,0.3
4,Lou Amundson\amundlo01,2015,2015,1,12,79,4,12,0,0,3,5,5,20,5,1,0,5,11,11,.333,,.600,6.6,0.9,1.7,0.4
5,Chris Andersen\anderch01,2017,2017,1,12,114,9,22,0,3,10,14,9,31,5,5,7,5,20,28,.409,.000,.714,9.5,2.3,2.6,0.4
6,Cliff Anderson\andercl01,1971,1971,1,23,171,19,59,,,41,60,,37,16,,,,22,79,.322,,.683,7.4,3.4,1.6,0.7
7,Derek Anderson\anderde01,1998,1999,2,104,2817,364,900,38,153,413,480,75,296,372,134,17,210,209,1179,.404,.248,.860,27.1,11.3,2.8,3.6
8,Ron Anderson\anderro01,1985,1986,2,53,727,121,269,1,3,53,66,44,114,42,10,7,40,60,296,.450,.333,.803,13.7,5.6,2.2,0.8
9,Martynas Andriuskevicius\andrima01,2006,2006,1,6,9,0,1,0,0,0,0,1,4,0,2,0,0,1,0,.000,,,1.5,0.0,0.7,0.0
10,Milos Babic\babicmi01,1991,1991,1,12,52,6,19,0,0,7,12,6,9,4,1,1,5,7,19,.316,,.583,4.3,1.6,0.8,0.3
11,John Bagley\baglejo01,1983,1987,5,375,9757,1434,3270,45,197,629,800,251,1070,2311,474,31,897,598,3542,.439,.228,.786,26.0,9.4,2.9,6.2
12,Tony Battie\battito01,2004,2004,1,50,977,114,267,1,8,43,56,79,241,37,18,47,39,104,272,.427,.125,.768,19.5,5.4,4.8,0.7
13,John Battle\battljo01,1992,1995,4,196,3228,572,1246,19,73,293,366,33,191,333,75,12,171,249,1456,.459,.260,.801,16.5,7.4,1.0,1.7
14,Butch Beard\beardbu01,1972,1976,2,83,2689,429,939,,,287,379,14,319,501,10,2,,249,1145,.457,,.757,32.4,13.8,3.8,6.0
15,Benoit Benjamin\benjabe01,2000,2000,1,3,8,1,3,0,0,0,0,0,1,0,0,1,0,1,2,.333,,,2.7,0.7,0.3,0.0
16,Anthony Bennett\bennean01,2014,2014,1,52,663,80,225,13,53,44,69,49,155,17,21,8,47,93,217,.356,.245,.638,12.8,4.2,3.0,0.3
17,Elmer Bennett\benneel01,1995,1995,1,4,18,6,11,0,2,3,4,0,1,3,4,0,3,3,15,.545,.000,.750,4.5,3.8,0.3,0.8
18,Mel Bennett\benneme01,1982,1982,1,3,23,2,4,0,0,1,6,1,3,0,1,0,4,2,5,.500,,.167,7.7,1.7,1.0,0.0
19,Winston Bennett\bennewi01,1990,1992,3,134,2155,256,602,0,1,134,193,176,413,120,50,21,115,304,646,.425,.000,.694,16.1,4.8,3.1,0.9
20,Kent Benson\bensoke01,1988,1988,1,2,12,2,2,0,0,1,2,0,1,0,1,1,2,2,5,1.000,,.500,6.0,2.5,0.5,0.0
21,Corie Blount\blounco01,1999,1999,1,20,368,23,67,0,0,22,42,34,105,10,18,12,15,47,68,.343,,.524,18.4,3.4,5.3,0.5
22,Andrew Bogut\bogutan01,2017,2017,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,1.0,0.0,0.0,0.0
23,Etdrick Bohannon\bohanet01,2001,2001,1,6,19,2,4,0,0,4,4,3,7,0,0,2,1,4,8,.500,,1.000,3.2,1.3,1.2,0.0
24,Carlos Boozer\boozeca01,2003,2004,2,156,4641,802,1518,1,7,367,477,432,1466,254,133,105,237,423,1972,.528,.143,.769,29.8,12.6,9.4,1.6
25,Earl Boykins\boykiea01,1999,2000,2,42,423,73,170,10,33,20,26,17,38,72,17,1,30,40,176,.429,.303,.769,10.1,4.2,0.9,1.7
26,A.J. Bramlett\bramlaj01,2000,2000,1,8,61,4,21,0,0,0,0,12,22,0,1,0,3,13,8,.190,,,7.6,1.0,2.8,0.0
27,Terrell Brandon\brandte01,1992,1997,6,457,12174,2205,4941,261,724,1122,1293,254,1235,2235,621,142,818,778,5793,.446,.360,.868,26.6,12.7,2.7,4.9
28,Brad Branson\bransbr01,1982,1982,1,10,176,21,52,0,0,11,12,14,33,6,5,4,13,17,53,.404,,.917,17.6,5.3,3.3,0.6
29,Mike Bratz\bratzmi01,1981,1981,1,80,2595,319,817,57,169,107,132,66,198,452,136,17,162,194,802,.390,.337,.811,32.4,10.0,2.5,5.7
30,J.R. Bremer\bremejr01,2004,2004,1,31,403,39,137,19,66,13,20,7,33,39,18,4,19,27,110,.285,.288,.650,13.0,3.5,1.1,1.3
31,Jim Brewer\breweji01,1974,1979,6,462,12537,1486,3367,,,489,822,1292,3551,853,419,353,181,1084,3461,.441,,.595,27.1,7.5,7.7,1.8
32,Ron Brewer\brewero01,1982,1986,3,108,2839,568,1293,10,41,211,260,65,201,188,96,35,137,184,1357,.439,.244,.812,26.3,12.6,1.9,1.7
33,Gary Brokaw\brokaga01,1977,1977,1,39,596,112,240,,,58,82,12,59,117,14,13,,79,282,.467,,.707,15.3,7.2,1.5,3.0
34,Scott Brooks\brooksc01,1998,1998,1,43,312,28,66,5,11,18,20,6,30,49,18,3,12,25,79,.424,.455,.900,7.3,1.8,0.7,1.1
35,Chucky Brown\brownch01,1990,2001,4,175,3139,509,1034,0,12,247,340,168,486,139,68,56,171,312,1265,.492,.000,.726,17.9,7.2,2.8,0.8
36,Devin Brown\brownde02,2008,2008,1,78,1762,217,531,45,146,107,142,65,263,175,52,7,99,144,586,.409,.308,.754,22.6,7.5,3.4,2.2
37,Kedrick Brown\brownke01,2004,2004,1,34,561,72,155,26,67,9,14,23,78,39,13,5,17,42,179,.465,.388,.643,16.5,5.3,2.3,1.1
38,Shannon Brown\brownsh01,2007,2008,2,38,420,69,185,16,54,24,37,11,39,27,17,4,33,51,178,.373,.296,.649,11.1,4.7,1.0,0.7
39,Tierre Brown\brownti01,2003,2003,1,15,168,27,59,0,1,11,14,8,30,39,13,0,22,9,65,.458,.000,.786,11.2,4.3,2.0,2.6
40,Mark Bryant\bryanma01,2000,2000,1,75,1712,174,346,0,0,76,94,126,352,61,31,31,87,250,424,.503,,.809,22.8,5.7,4.7,0.8
41,Mitchell Butler\butlemi02,1998,1999,2,49,624,82,186,12,35,29,42,19,66,40,23,4,37,67,205,.441,.343,.690,12.7,4.2,1.3,0.8
42,Andrew Bynum\bynuman01,2014,2014,1,24,480,85,203,0,0,32,42,47,126,27,6,28,30,28,202,.419,,.762,20.0,8.4,5.3,1.1
43,Michael Cage\cagemi01,1995,1996,2,164,4671,397,736,0,3,103,180,491,1293,109,148,146,110,364,897,.539,.000,.572,28.5,5.5,7.9,0.7
44,Jose Calderon\caldejo01,2018,2018,1,57,914,93,185,45,97,24,30,14,84,117,27,2,41,81,255,.503,.464,.800,16.0,4.5,1.5,2.1
45,Mack Calvin\calvima01,1981,1981,1,21,128,13,39,1,5,25,35,2,12,28,5,0,17,13,52,.333,.200,.714,6.1,2.5,0.6,1.3
46,Tony Campbell\campbto01,1995,1995,1,78,1128,161,392,15,42,132,159,60,153,69,32,8,65,122,469,.411,.357,.830,14.5,6.0,2.0,0.9
47,Austin Carr\carrau01,1972,1980,9,635,19003,4272,9480,2,6,1719,2127,689,1929,1820,418,64,429,1341,10265,.451,.333,.808,29.9,16.2,3.0,2.9
48,Kenny Carr\carrke01,1980,1982,3,201,5878,1111,2194,1,17,608,890,568,1800,331,198,109,488,716,2831,.506,.059,.683,29.2,14.1,9.0,1.6
49,Omri Casspi\casspom01,2012,2013,2,108,1844,229,572,78,244,96,149,83,342,94,62,33,86,160,632,.400,.320,.644,17.1,5.9,3.2,0.9
50,Len Chappell\chapple01,1971,1971,1,6,86,15,38,,,11,14,,18,1,,,,9,41,.395,,.786,14.3,6.8,3.0,0.2
51,Will Cherry\cherrwi01,2015,2015,1,8,69,5,19,2,9,3,6,1,5,8,6,1,4,10,15,.263,.222,.500,8.6,1.9,0.6,1.0
52,Derrick Chievous\chievde01,1990,1991,2,32,209,32,88,0,1,28,40,18,33,6,6,2,11,27,92,.364,.000,.700,6.5,2.9,1.0,0.2
53,Pete Chilcutt\chilcpe01,2000,2000,1,6,30,0,2,0,0,0,0,4,9,1,0,0,0,3,0,.000,,,5.0,0.0,1.5,0.2
54,Jim Chones\choneji01,1975,1979,5,400,13302,2456,5332,,,817,1161,1040,3790,711,222,450,371,1259,5729,.461,,.704,33.3,14.3,9.5,1.8
55,Earl Clark\clarkea01,2014,2014,1,45,698,90,240,40,116,14,24,20,127,16,16,19,30,61,234,.375,.345,.583,15.5,5.2,2.8,0.4
56,Jordan Clarkson\clarkjo01,2018,2019,2,33,745,165,354,50,127,58,70,16,74,54,21,4,40,52,438,.466,.394,.829,22.6,13.3,2.2,1.6
57,Jim Cleamons\cleamji01,1973,1977,5,377,10605,1467,3215,,,598,781,383,1353,1549,335,81,,794,3532,.456,,.766,28.1,9.4,3.6,4.1
58,Mateen Cleaves\cleavma01,2004,2004,1,4,92,7,23,0,1,1,2,1,7,19,4,2,5,13,15,.304,.000,.500,23.0,3.8,1.8,4.8
59,Barry Clemens\clemeba01,1973,1974,2,143,2032,372,751,,,115,141,42,377,195,36,2,,272,859,.495,,.816,14.2,6.0,2.6,1.4
60,Bimbo Coles\colesbi01,2001,2003,3,115,2013,181,504,13,61,108,127,31,151,301,51,14,108,189,483,.359,.213,.850,17.5,4.2,1.3,2.6
61,Steve Colter\coltest01,1995,1995,1,57,752,67,169,8,35,54,71,13,59,101,30,6,36,53,196,.396,.229,.761,13.2,3.4,1.0,1.8
62,Jeff Cook\cookje01,1983,1985,3,129,3172,321,654,1,4,149,207,290,794,190,100,74,156,427,792,.491,.250,.720,24.6,6.1,6.2,1.5
63,Joe Cooke\cookejo01,1971,1971,1,73,725,134,341,,,48,59,,114,93,,,,135,316,.393,,.814,9.9,4.3,1.6,1.3
64,Tyrone Corbin\corbity01,1987,1988,2,86,1586,201,439,1,7,119,155,115,316,73,59,17,86,176,522,.458,.143,.768,18.4,6.1,3.7,0.8
