,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
157,Patrick Patterson\pattepa01,2014,2017,4,273,6893,773,1779,351,941,176,229,349,1311,388,195,133,206,517,2073,.435,.373,.769,25.2,7.6,4.8,1.4
158,Morris Peterson\petermo01,2001,2007,7,542,16059,2341,5562,801,2158,1015,1298,503,2064,965,552,122,633,1344,6498,.421,.371,.782,29.6,12.0,3.8,1.8
159,Mickael Pietrus\pietrmi01,2013,2013,1,19,386,34,98,20,64,12,18,5,36,9,12,6,16,33,100,.347,.313,.667,20.3,5.3,1.9,0.5
160,Ed Pinckney\pincked01,1996,1996,1,47,1031,117,233,0,3,94,124,115,282,50,31,17,54,101,328,.502,.000,.758,21.9,7.0,6.0,1.1
161,Jakob Poeltl\poeltja01,2017,2018,2,136,2150,320,499,1,2,91,158,243,558,69,56,120,114,325,732,.641,.500,.576,15.8,5.4,4.1,0.5
162,Norman Powell\powelno01,2016,2019,4,200,3230,487,1137,149,460,204,254,57,411,222,121,41,173,306,1327,.428,.324,.803,16.2,6.6,2.1,1.1
163,Aleksandar Radojevic\radojal01,2000,2000,1,3,24,2,7,0,0,3,6,2,8,1,2,1,5,5,7,.286,,.500,8.0,2.3,2.7,0.3
164,Shawn Respert\respesh01,1997,1998,2,74,1108,147,329,44,115,71,86,41,105,76,49,3,55,93,409,.447,.383,.826,15.0,5.5,1.4,1.0
165,Malachi Richardson\richama01,2018,2019,2,3,9,2,4,1,3,0,0,0,1,0,0,0,0,1,5,.500,.333,,3.0,1.7,0.3,0.0
166,Alvin Robertson\roberal01,1996,1996,1,77,2478,285,607,41,151,107,158,110,342,323,166,36,183,268,718,.470,.272,.677,32.2,9.3,4.4,4.2
167,Carlos Rogers\rogerca01,1996,1998,3,130,2791,435,835,28,88,191,332,234,539,88,76,125,127,261,1089,.521,.318,.575,21.5,8.4,4.1,0.7
168,Roy Rogers\rogerro02,1998,1998,1,6,69,6,17,0,0,1,4,8,12,1,1,4,4,12,13,.353,,.250,11.5,2.2,2.0,0.2
169,Jalen Rose\roseja01,2004,2006,3,177,5914,1015,2357,185,537,647,787,86,607,595,122,38,416,430,2862,.431,.345,.822,33.4,16.2,3.4,3.4
