,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
418,Bruno Sundov\sundobr01,2004,2005,2,22,77,12,38,1,3,2,2,6,13,3,2,2,6,18,27,.316,.333,1.000,3.5,1.2,0.6,0.1
419,Dick Surhoff\surhodi01,1953,1953,1,26,187,13,61,,,19,30,,25,9,,,,36,45,.213,,.633,7.2,1.7,1.0,0.3
420,Mike Sweetney\sweetmi01,2004,2005,2,119,2003,306,586,0,2,218,293,237,575,58,45,40,140,281,830,.522,.000,.744,16.8,7.0,4.8,0.5
421,Sid Tanenbaum\tanensi01,1948,1949,2,56,,186,699,,,127,151,,,108,,,,86,499,.266,,.841,,8.9,,1.9
422,Maurice Taylor\tayloma01,2005,2006,2,94,1641,258,543,0,2,82,126,91,322,67,32,22,134,234,598,.475,.000,.651,17.5,6.4,3.4,0.7
423,Vince Taylor\taylovi01,1983,1983,1,31,321,37,102,0,0,21,32,19,36,41,20,2,30,54,95,.363,,.656,10.4,3.1,1.2,1.3
424,Kurt Thomas\thomaku01,1999,2013,8,569,16421,2575,5296,8,24,869,1119,1111,4272,779,445,479,807,2069,6027,.486,.333,.777,28.9,10.6,7.5,1.4
425,Lance Thomas\thomala01,2015,2019,5,223,4766,510,1228,143,349,243,295,150,584,183,102,36,183,402,1406,.415,.410,.824,21.4,6.3,2.6,0.8
426,Tim Thomas\thomati01,2004,2009,3,131,3459,571,1279,164,398,268,336,91,465,190,87,32,202,382,1574,.446,.412,.798,26.4,12.0,3.5,1.5
427,Brooks Thompson\thompbr01,1998,1998,1,17,121,13,29,4,14,3,5,0,10,24,6,1,11,16,33,.448,.286,.600,7.1,1.9,0.6,1.4
428,Bob Thornton\thornbo01,1986,1988,3,111,1690,160,360,0,1,104,190,136,359,55,36,10,115,280,424,.444,.000,.547,15.2,3.8,3.2,0.5
429,Ray Tolbert\tolbera01,1988,1988,1,11,177,19,41,0,0,9,17,14,35,5,5,2,10,25,47,.463,,.529,16.1,4.3,3.2,0.5
430,Sedric Toney\toneyse01,1988,1988,1,21,139,21,48,5,14,10,11,3,8,24,9,1,12,20,57,.438,.357,.909,6.6,2.7,0.4,1.1
431,Allonzo Trier\trieral01,2019,2019,1,5,106,14,37,3,8,15,17,3,14,7,2,2,9,3,46,.378,.375,.882,21.2,9.2,2.8,1.4
432,Cezary Trybanski\trybace01,2004,2004,1,3,5,0,2,0,0,1,2,0,0,0,1,0,0,2,1,.000,,.500,1.7,0.3,0.0,0.0
433,Trent Tucker\tucketr01,1983,1991,9,663,14347,2391,5208,504,1231,439,585,488,1412,1423,634,79,561,1490,5725,.459,.409,.750,21.6,8.6,2.1,2.1
434,Ronny Turiaf\turiaro01,2011,2011,1,64,1141,103,163,0,0,61,98,64,207,92,35,73,41,160,267,.632,,.622,17.8,4.2,3.2,1.4
435,Mirsad Turkcan\turkcmi01,2000,2000,1,7,25,2,10,0,2,0,0,2,10,1,2,0,1,4,4,.200,.000,,3.6,0.6,1.4,0.1
436,Jack Turner\turneja01,1955,1955,1,65,922,111,308,,,60,76,,154,77,,,,76,282,.360,,.789,14.2,4.3,2.4,1.2
437,Jeremy Tyler\tylerje01,2014,2014,1,41,398,60,116,0,0,26,48,38,109,8,6,20,26,70,146,.517,,.542,9.7,3.6,2.7,0.2
438,Charlie Tyra\tyrach01,1958,1961,4,270,6205,1020,2597,,,532,776,,1957,229,,,,777,2572,.393,,.686,23.0,9.5,7.2,0.8
439,Ime Udoka\udokaim01,2006,2006,1,8,114,9,24,1,3,3,6,3,17,6,1,0,2,8,22,.375,.333,.500,14.3,2.8,2.1,0.8
440,Beno Udrih\udrihbe01,2014,2014,1,31,588,68,160,17,40,20,24,10,57,110,22,3,42,46,173,.425,.425,.833,19.0,5.6,1.8,3.5
441,Dick Van Arsdale\vanardi01,1966,1968,3,236,7529,1085,2476,,,849,1199,,1355,661,,,,724,3019,.438,,.708,31.9,12.8,5.7,2.8
442,Butch van Breda Kolff\vanbrbu01,1947,1950,4,175,,242,794,,,342,511,,,256,,,,350,826,.305,,.669,,4.7,,1.5
443,Keith Van Horn\vanhoke01,2004,2004,1,47,1574,273,613,60,161,163,199,98,343,83,52,18,119,151,769,.445,.373,.819,33.5,16.4,7.3,1.8
444,Ernie Vandeweghe\vandeer01,1950,1956,6,224,3600,818,1942,,,499,674,,834,548,,,,753,2135,.421,,.740,26.1,9.5,4.6,2.4
