,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
240,D.J. White\whitedj01,2011,2014,3,84,1574,255,508,1,3,84,115,81,317,62,24,35,50,141,595,.502,.333,.730,18.7,7.1,3.8,0.7
241,Jahidi White\whiteja01,2005,2005,1,17,135,14,31,0,0,14,40,11,34,1,2,12,11,31,42,.452,,.350,7.9,2.5,2.0,0.1
242,Eric Williams\willier01,2007,2007,1,5,33,4,13,0,2,4,7,2,3,1,1,0,2,6,12,.308,.000,.571,6.6,2.4,0.6,0.2
243,Lorenzo Williams\willilo01,1993,1994,2,3,37,1,4,0,0,0,0,3,13,0,1,4,3,6,2,.250,,,12.3,0.7,4.3,0.0
244,Marvin Williams\willima02,2015,2019,5,318,8804,1119,2551,503,1327,418,510,355,1806,416,244,212,251,535,3159,.439,.379,.820,27.7,9.9,5.7,1.3
245,Micheal Williams\willimi02,1990,1990,1,22,303,58,109,0,3,35,44,11,31,77,22,1,28,39,151,.532,.000,.795,13.8,6.9,1.4,3.5
246,Mo Williams\willima01,2015,2015,1,27,831,161,413,60,178,83,93,9,76,163,16,6,70,59,465,.390,.337,.892,30.8,17.2,2.8,6.0
247,Reggie Williams\willire02,2012,2013,2,73,1127,163,387,55,179,39,61,35,144,99,32,4,52,53,420,.421,.307,.639,15.4,5.8,2.0,1.4
248,Travis Williams\willitr01,1998,1999,2,47,427,62,132,0,1,27,50,59,111,22,20,6,36,65,151,.470,.000,.540,9.1,3.2,2.4,0.5
249,David Wingate\wingada01,1993,1995,3,174,2991,366,741,9,40,131,182,90,368,343,127,21,169,280,872,.494,.225,.720,17.2,5.0,2.1,2.0
250,Joe Wolf\wolfjo01,1995,1999,3,67,613,38,83,2,6,12,18,34,132,37,11,6,24,109,90,.458,.333,.667,9.1,1.3,2.0,0.6
251,Christian Wood\woodch01,2017,2017,1,13,107,12,23,0,5,11,15,14,29,2,3,6,7,11,35,.522,.000,.733,8.2,2.7,2.2,0.2
252,Cody Zeller\zelleco01,2014,2019,6,317,7134,928,1839,5,17,651,886,567,1782,403,210,233,318,809,2512,.505,.294,.735,22.5,7.9,5.6,1.3
253,George Zidek\zidekge01,1996,1997,2,107,1176,138,333,0,2,96,125,94,246,25,13,10,61,214,372,.414,.000,.768,11.0,3.5,2.3,0.2
