,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
155,Andrae Patterson\pattean01,1999,2000,2,40,304,46,101,0,5,28,36,31,67,16,20,7,23,66,120,.455,.000,.778,7.6,3.0,1.7,0.4
156,Justin Patton\pattoju01,2018,2018,1,1,4,1,2,0,0,0,0,0,0,0,1,0,0,1,2,.500,,,4.0,2.0,0.0,0.0
157,Sasha Pavlovic\pavloal01,2010,2010,1,71,877,109,300,35,118,10,26,12,117,58,23,6,53,84,263,.363,.297,.385,12.4,3.7,1.6,0.8
158,Adreian Payne\paynead01,2015,2017,3,99,1341,165,412,13,55,60,89,76,302,66,42,27,88,193,403,.400,.236,.674,13.5,4.1,3.1,0.7
159,Oleksiy Pecherov\pecheol01,2010,2010,1,44,447,77,188,14,52,29,32,32,124,11,9,14,32,55,197,.410,.269,.906,10.2,4.5,2.8,0.3
160,Anthony Peeler\peelean01,1998,2003,6,379,10305,1422,3370,465,1226,313,386,240,1058,1000,373,64,431,776,3622,.422,.379,.811,27.2,9.6,2.8,2.6
161,Nikola Pekovic\pekovni01,2011,2016,6,271,6744,1314,2537,0,0,777,1023,803,1807,199,140,151,414,632,3405,.518,,.760,24.9,12.6,6.7,0.7
162,Chuck Person\persoch01,1993,1994,2,155,5014,897,2091,218,604,191,276,153,686,528,112,42,340,362,2203,.429,.361,.692,32.3,14.2,4.4,3.4
163,Terry Porter\portete01,1996,1998,3,246,5426,715,1634,230,659,458,570,104,556,1018,206,42,405,361,2118,.438,.349,.804,22.1,8.6,2.3,4.1
164,A.J. Price\priceaj01,2014,2014,1,28,99,19,46,6,22,0,2,1,10,13,1,0,7,5,44,.413,.273,.000,3.5,1.6,0.4,0.5
165,Tayshaun Prince\princta01,2016,2016,1,77,1462,102,229,4,23,13,19,32,147,73,36,13,27,62,221,.445,.174,.684,19.0,2.9,1.9,0.9
166,Miroslav Raduljica\radulmi01,2015,2015,1,5,23,3,8,0,0,2,2,2,5,0,1,0,2,8,8,.375,,1.000,4.6,1.6,1.0,0.0
167,Igor Rakocevic\rakocig01,2003,2003,1,42,244,22,58,5,12,29,36,4,17,33,4,0,23,25,78,.379,.417,.806,5.8,1.9,0.4,0.8
168,Mark Randall\randama01,1992,1993,2,41,382,58,128,3,15,26,35,35,62,27,12,3,20,32,145,.453,.200,.743,9.3,3.5,1.5,0.7
169,Anthony Randolph\randoan01,2011,2012,2,57,980,203,419,0,1,116,158,74,243,45,31,51,83,103,522,.484,.000,.734,17.2,9.2,4.3,0.8
170,Theo Ratliff\ratlith01,2008,2008,1,10,214,23,45,0,1,17,25,13,39,7,3,19,12,30,63,.511,.000,.680,21.4,6.3,3.9,0.7
171,Justin Reed\reedju01,2006,2007,2,81,1024,134,328,0,1,88,110,55,141,51,23,14,59,162,356,.409,.000,.800,12.6,4.4,1.7,0.6
172,Chris Richard\richach01,2008,2008,1,52,556,41,87,0,0,16,27,52,135,18,10,12,24,83,98,.471,,.593,10.7,1.9,2.6,0.3
173,Pooh Richardson\richapo01,1990,1992,3,246,8657,1648,3536,118,366,275,450,228,804,1973,383,63,519,409,3689,.466,.322,.611,35.2,15.0,3.3,8.0
174,Isaiah Rider\rideris01,1994,1996,3,229,7654,1640,3570,295,821,740,900,307,873,660,171,74,651,592,4315,.459,.359,.822,33.4,18.8,3.8,2.9
175,Luke Ridnour\ridnolu01,2011,2013,3,206,6383,928,2042,196,548,366,420,97,546,947,227,41,384,469,2418,.454,.358,.871,31.0,11.7,2.7,4.6
176,Eric Riley\rileyer01,1996,1996,1,25,310,35,74,0,1,22,28,32,76,5,8,16,17,42,92,.473,.000,.786,12.4,3.7,3.0,0.2
177,Stanley Roberts\roberst01,1998,1998,1,74,1328,191,386,0,0,75,156,109,363,27,24,72,70,226,457,.495,,.481,17.9,6.2,4.9,0.4
178,Glenn Robinson\robingl02,2015,2015,1,25,108,8,24,1,6,12,16,4,14,3,3,0,3,5,29,.333,.167,.750,4.3,1.2,0.6,0.1
179,James Robinson\robinja02,1997,1999,2,86,1535,224,569,115,311,86,128,32,147,164,38,13,97,156,649,.394,.370,.672,17.8,7.5,1.7,1.9
180,Sean Rooks\rooksse01,1995,1996,2,129,3307,401,842,1,11,396,540,225,690,135,48,99,191,314,1199,.476,.091,.733,25.6,9.3,5.3,1.0
181,Derrick Rose\rosede01,2018,2019,2,14,255,51,121,5,21,20,22,10,24,36,7,1,13,10,127,.421,.238,.909,18.2,9.1,1.7,2.6
182,Scott Roth\rothsc01,1990,1990,1,71,1061,159,420,18,52,150,201,34,112,115,51,6,85,144,486,.379,.346,.746,14.9,6.8,1.6,1.6
183,Brandon Roy\roybr01,2013,2013,1,5,122,11,35,0,9,7,10,3,14,23,3,0,7,5,29,.314,.000,.700,24.4,5.8,2.8,4.6
184,Donald Royal\royaldo01,1990,1990,1,66,746,117,255,0,1,153,197,69,137,43,32,8,81,107,387,.459,.000,.777,11.3,5.9,2.1,0.7
185,Clifford Rozier\roziecl01,1998,1998,1,6,30,3,6,0,0,0,1,3,6,0,0,0,4,7,6,.500,,.000,5.0,1.0,1.0,0.0
186,Ricky Rubio\rubiori01,2012,2017,6,353,11217,1137,3028,238,756,1141,1374,253,1498,2991,747,45,976,920,3653,.375,.315,.830,31.8,10.3,4.2,8.5
187,Damjan Rudez\rudezda01,2016,2016,1,33,277,25,62,17,50,8,8,5,20,11,3,1,13,33,75,.403,.340,1.000,8.4,2.3,0.6,0.3
188,Brandon Rush\rushbr01,2017,2017,1,47,1030,70,187,44,114,13,18,16,99,45,22,23,28,42,197,.374,.386,.722,21.9,4.2,2.1,1.0
